head_key,module_id,mean_cosine,median_cosine,min_cosine,max_cosine,std,q05,q95,n_pairs
evo2__mod0001__h03,1,0.8949103715564265,0.9312326312065125,0.6319112777709961,0.9969851970672607,0.08642806015639273,0.7227464914321899,0.9840565323829651,4950
evo2__mod0001__h20,1,0.915807502871812,0.9543613791465759,0.6760271191596985,0.9985865354537964,0.08380736334692514,0.7484360337257385,0.9934049844741821,4950
evo2__mod0001__h25,1,0.9207761130670105,0.9841956496238708,0.6004826426506042,0.9993340373039246,0.09955136490348687,0.7248604893684387,0.996809184551239,4950
evo2__mod0001__h10,1,0.9306412205792437,0.9603144526481628,0.7063629031181335,0.9981616139411926,0.06523785832876855,0.8059940934181213,0.9928733110427856,4950
evo2__mod0003__h00,3,0.9310327498118083,0.9656779170036316,0.7091799378395081,0.9990073442459106,0.06732298619710071,0.7999109625816345,0.9925842881202698,4950
evo2__mod0002__h01,2,0.9355607302742776,0.9670724272727966,0.7711565494537354,0.9991927742958069,0.06345478630823712,0.8142700791358948,0.9954729676246643,4950
evo2__mod0002__h31,2,0.9371802903064573,0.9763115644454956,0.7721733450889587,0.999448835849762,0.0669766678277326,0.8168864846229553,0.9962881803512573,4950
evo2__mod0001__h12,1,0.9399494099376178,0.9630111455917358,0.8100199103355408,0.9983315467834473,0.04994674075394108,0.8452187776565552,0.9913730025291443,4950
evo2__mod0002__h06,2,0.9436192602340621,0.9689486622810364,0.754192054271698,0.9991015791893005,0.053777946559280296,0.8370686769485474,0.9943504333496094,4950
evo2__mod0003__h29,3,0.9458128713116501,0.9861151576042175,0.7984487414360046,0.9994366765022278,0.06251124412299351,0.8340752124786377,0.9978678822517395,4950
evo2__mod0001__h15,1,0.946543753387952,0.9701598882675171,0.7616000175476074,0.9993035793304443,0.05308818616402431,0.8339495658874512,0.995079517364502,4950
evo2__mod0003__h31,3,0.9505988307673522,0.972813606262207,0.8170282244682312,0.998836874961853,0.04553288740687822,0.8676475286483765,0.9950699210166931,4950
evo2__mod0002__h10,2,0.9515390601182224,0.9802478551864624,0.814221203327179,0.9990609884262085,0.05078077803076715,0.8557151556015015,0.9961470365524292,4950
evo2__mod0002__h24,2,0.9519896377457513,0.981338381767273,0.7751548290252686,0.9994404911994934,0.05360675234007414,0.8531718254089355,0.9979503750801086,4950
evo2__mod0001__h05,1,0.9522609539345057,0.9882996082305908,0.7464777827262878,0.9995267391204834,0.057839798190073066,0.848679780960083,0.9982883930206299,4950
evo2__mod0002__h15,2,0.9541403299389464,0.9772224426269531,0.8345565795898438,0.9989168643951416,0.0453381294551591,0.8637001514434814,0.9956052303314209,4950
evo2__mod0002__h30,2,0.9548885267792326,0.975348949432373,0.840071976184845,0.998813271522522,0.040936340953934176,0.8794738054275513,0.9943583607673645,4950
evo2__mod0003__h16,3,0.9554919925723413,0.9784727096557617,0.8509309887886047,0.9993237853050232,0.04274012222820143,0.8792324662208557,0.9957062005996704,4950
evo2__mod0002__h00,2,0.9557402515290964,0.9719668030738831,0.779878556728363,0.9991127252578735,0.03886940723305754,0.8820199966430664,0.9945084452629089,4950
evo2__mod0003__h08,3,0.9557509578117217,0.9768198728561401,0.8275049924850464,0.9991704821586609,0.04266668506850911,0.8713628053665161,0.9956096410751343,4950
evo2__mod0003__h20,3,0.9567919539441966,0.978266716003418,0.8517258763313293,0.999349057674408,0.04169702546490241,0.8746498227119446,0.9955450296401978,4950
evo2__mod0002__h08,2,0.9568776221227164,0.9782137870788574,0.7796238660812378,0.9992283582687378,0.04296210469555297,0.8773365020751953,0.9955665469169617,4950
evo2__mod0001__h22,1,0.9571256115460637,0.9711329936981201,0.827912449836731,0.9988633394241333,0.03740071365904424,0.8817611932754517,0.9946547746658325,4950
evo2__mod0002__h05,2,0.957784284449587,0.9786903858184814,0.841820240020752,0.9991098046302795,0.04118666709857423,0.8806958198547363,0.9959614276885986,4950
evo2__mod0002__h09,2,0.9597203840270186,0.977135956287384,0.8614687919616699,0.9989408254623413,0.03433039796767888,0.8957275152206421,0.9934411644935608,4950
evo2__mod0003__h07,3,0.9599962546247425,0.9766053557395935,0.8614429235458374,0.9992424249649048,0.035012908199364666,0.8932798504829407,0.9947931170463562,4950
evo2__mod0001__h24,1,0.9610514454528539,0.9814534187316895,0.8336595296859741,0.999254584312439,0.039836910636652456,0.8821340203285217,0.9964081048965454,4950
evo2__mod0003__h18,3,0.9616667675129091,0.9833412766456604,0.8283353447914124,0.9988561868667603,0.04032619894810236,0.8850244283676147,0.9966451525688171,4950
evo2__mod0002__h02,2,0.9617481709249092,0.9795429706573486,0.8690243363380432,0.9990867376327515,0.03699445259168379,0.889352023601532,0.996519923210144,4950
evo2__mod0003__h09,3,0.9620665918937837,0.9840642213821411,0.8682394623756409,0.9994350671768188,0.038913016860826974,0.8896006941795349,0.9969496130943298,4950
evo2__mod0002__h21,2,0.9621753337166526,0.9798278212547302,0.7587534785270691,0.9994584321975708,0.0398369279931931,0.8826691508293152,0.9970316886901855,4950
evo2__mod0002__h28,2,0.9639606220312793,0.9757739305496216,0.8541917204856873,0.9993305802345276,0.03084771981934731,0.9067995548248291,0.9957801103591919,4950
evo2__mod0000__h24,0,0.9718655678840599,0.9786199927330017,0.8737011551856995,0.9991365671157837,0.020865021456094084,0.9315110445022583,0.9941908717155457,4950
evo2__mod0003__h27,3,0.9721147825742009,0.9813524484634399,0.9009719491004944,0.9994991421699524,0.023676079248439293,0.9248338341712952,0.9963740110397339,4950
evo2__mod0003__h17,3,0.9725460939455514,0.986594021320343,0.8712953329086304,0.999056339263916,0.02788997865140234,0.9179103374481201,0.9968934655189514,4950
evo2__mod0003__h19,3,0.9731615815018163,0.9838976263999939,0.909481942653656,0.9989144206047058,0.022275054399414355,0.9306804537773132,0.994954526424408,4950
evo2__mod0003__h15,3,0.9734645657226293,0.9824299216270447,0.8981462717056274,0.9993520975112915,0.024053555672434643,0.9223979115486145,0.9974151253700256,4950
evo2__mod0002__h23,2,0.9735818512632389,0.9867311716079712,0.9086390137672424,0.9991254210472107,0.025238698370661766,0.9279343485832214,0.9973222017288208,4950
evo2__mod0001__h27,1,0.9748356461886204,0.986524760723114,0.9013844728469849,0.9991422891616821,0.022815465373381125,0.9307097792625427,0.9960934519767761,4950
evo2__mod0003__h04,3,0.9757029293281864,0.9870374798774719,0.92066490650177,0.9989156723022461,0.02206755716019365,0.9330811500549316,0.9963650703430176,4950
evo2__mod0003__h01,3,0.975993654065662,0.9870769381523132,0.9140601754188538,0.9993438720703125,0.02235427860727107,0.9325267672538757,0.9971111416816711,4950
evo2__mod0003__h28,3,0.9767822179890642,0.9867500066757202,0.9129447937011719,0.9984121322631836,0.02034102972227429,0.936896026134491,0.9958325624465942,4950
evo2__mod0001__h28,1,0.9770910542420667,0.9810550808906555,0.9270271062850952,0.9991979598999023,0.014875828516080138,0.9495183825492859,0.9949856400489807,4950
evo2__mod0003__h02,3,0.9771538800181765,0.9867393970489502,0.9214122295379639,0.9994980692863464,0.02062451251197582,0.9384263157844543,0.9976910948753357,4950
evo2__mod0001__h26,1,0.9775380874402595,0.9842411279678345,0.9018114805221558,0.9991247653961182,0.01853856236238347,0.9397767782211304,0.9962800741195679,4950
evo2__mod0002__h16,2,0.9778031629986234,0.9887402653694153,0.8969479203224182,0.9994296431541443,0.021986465298233577,0.9356106519699097,0.9979154467582703,4950
evo2__mod0002__h26,2,0.9782925218644768,0.9876402020454407,0.9145839810371399,0.9994316101074219,0.019946849592436987,0.94188392162323,0.9975700378417969,4950
evo2__mod0001__h09,1,0.9783120869747316,0.9899675250053406,0.8976764678955078,0.9994480609893799,0.02271042839834812,0.931547999382019,0.9978095889091492,4950
evo2__mod0001__h02,1,0.9783237867162685,0.9888306856155396,0.8904502987861633,0.9995089173316956,0.02235850082295984,0.9338226318359375,0.9978047013282776,4950
evo2__mod0003__h14,3,0.9784659002405225,0.9877203106880188,0.9293996095657349,0.9993104338645935,0.019100387485631982,0.9408849477767944,0.9970505833625793,4950
evo2__mod0003__h06,3,0.9785132009212417,0.9872801899909973,0.9226558804512024,0.9990839958190918,0.01907282990586347,0.9405863285064697,0.9968810081481934,4950
evo2__mod0003__h05,3,0.9790892429062814,0.9873729944229126,0.9404680132865906,0.9993851184844971,0.017553994250607816,0.9474040865898132,0.9976569414138794,4950
evo2__mod0001__h07,1,0.97949999547968,0.9851589798927307,0.9264727234840393,0.999274730682373,0.015308679763433128,0.9492838382720947,0.9963206052780151,4950
evo2__mod0001__h14,1,0.9795019485733726,0.9857143759727478,0.925488293170929,0.9991766810417175,0.015617990150662196,0.9502994418144226,0.9964653849601746,4950
evo2__mod0001__h11,1,0.9803942533213683,0.9876132011413574,0.9223656058311462,0.9994491338729858,0.016896100226468827,0.9474343657493591,0.997560977935791,4950
evo2__mod0002__h04,2,0.9804152018494077,0.9923826456069946,0.9059921503067017,0.9993138909339905,0.021834091490930473,0.9339616894721985,0.9981580972671509,4950
evo2__mod0003__h25,3,0.9809745292470913,0.9899697303771973,0.9362854957580566,0.999213695526123,0.017091046452021797,0.9494592547416687,0.9972929954528809,4950
evo2__mod0002__h11,2,0.9809970420779603,0.9870737195014954,0.910136878490448,0.9995449781417847,0.015696828581383996,0.9513810873031616,0.9974191188812256,4950
evo2__mod0001__h13,1,0.9810590507406177,0.9869073629379272,0.9375712275505066,0.9993058443069458,0.015253047050301852,0.9515603184700012,0.997326672077179,4950
evo2__mod0001__h30,1,0.9815093480336545,0.9870237708091736,0.926611602306366,0.999353289604187,0.014810370722166994,0.9527917504310608,0.9973634481430054,4950
evo2__mod0002__h25,2,0.9820785127143667,0.988254725933075,0.9293085932731628,0.9994485378265381,0.015497045636587846,0.9523009061813354,0.9979385733604431,4950
evo2__mod0003__h10,3,0.9822420562036109,0.9904828071594238,0.9373988509178162,0.9996009469032288,0.01706817902099863,0.948127269744873,0.9982473850250244,4950
evo2__mod0002__h13,2,0.982884781493081,0.9909474849700928,0.9370325803756714,0.9995129704475403,0.016180661287631952,0.9527440071105957,0.99796462059021,4950
evo2__mod0002__h03,2,0.9829835262202253,0.9931315183639526,0.9345367550849915,0.9997124671936035,0.01775820533282636,0.9503427147865295,0.9987133145332336,4950
evo2__mod0002__h22,2,0.9834433418331724,0.9893643856048584,0.9271066188812256,0.9997762441635132,0.016445112510255662,0.9473747611045837,0.9989302754402161,4950
evo2__mod0003__h21,3,0.9841856536359498,0.9901260137557983,0.9419077634811401,0.9993652701377869,0.013045487483248025,0.9606496095657349,0.9974967837333679,4950
evo2__mod0002__h18,2,0.9848825758996635,0.9924256205558777,0.9399524927139282,0.999504029750824,0.014417117680138123,0.9577003717422485,0.9981907606124878,4950
evo2__mod0003__h22,3,0.985055211276719,0.9909107685089111,0.9475136995315552,0.9995198249816895,0.012754801157347498,0.9607027769088745,0.9980101585388184,4950
evo2__mod0001__h00,1,0.9861148774142218,0.9922836422920227,0.9384357929229736,0.9994547963142395,0.013308676065241967,0.9588987827301025,0.9983323812484741,4950
evo2__mod0003__h03,3,0.9864730855190392,0.9926878213882446,0.9545759558677673,0.9996758699417114,0.012820505106902134,0.9612699747085571,0.9985603094100952,4950
evo2__mod0001__h01,1,0.9878015467253598,0.9905380010604858,0.9609445929527283,0.9990732669830322,0.007758953139901691,0.9729055762290955,0.9965623617172241,4950
evo2__mod0001__h21,1,0.9884546607913393,0.9926074743270874,0.947587788105011,0.9994890093803406,0.010218234182775265,0.9680197834968567,0.9983381628990173,4950
